Date,Block,Demand
01-09-2022,52,407
01-09-2022,53,402
01-09-2022,54,425.0625
01-09-2022,55,420
01-09-2022,56,422
01-09-2022,57,426
01-09-2022,58,429
01-09-2022,59,424
01-09-2022,60,430
01-09-2022,61,427
01-09-2022,62,432
01-09-2022,63,434
01-09-2022,64,422.5
01-09-2022,65,419
01-09-2022,66,419.5625
01-09-2022,67,401
01-09-2022,68,404
01-09-2022,69,416
01-09-2022,70,412
01-09-2022,71,411
01-09-2022,72,416
01-09-2022,73,420
01-09-2022,74,424
01-09-2022,75,426
01-09-2022,76,442.5
01-09-2022,77,439
01-09-2022,78,438
01-09-2022,79,442
01-09-2022,80,441
01-09-2022,81,443
01-09-2022,82,440
01-09-2022,83,437
01-09-2022,84,442
01-09-2022,85,441
01-09-2022,86,437
01-09-2022,87,434
01-09-2022,88,441.5625
01-09-2022,89,442.25
01-09-2022,90,432
01-09-2022,91,434
01-09-2022,92,435
01-09-2022,93,434
01-09-2022,94,431
01-09-2022,95,430
01-09-2022,96,427
01-09-2022,1,6307
01-09-2022,2,6279
01-09-2022,3,6266
01-09-2022,4,6166
01-09-2022,5,6150
01-09-2022,6,6126
01-09-2022,7,6058
01-09-2022,8,6028
01-09-2022,9,6034
01-09-2022,10,6019
01-09-2022,11,5976
01-09-2022,12,5954
01-09-2022,13,5930
01-09-2022,14,5940
01-09-2022,15,5908
01-09-2022,16,5873
01-09-2022,17,6025
01-09-2022,18,6136
01-09-2022,19,6477
01-09-2022,20,6768
01-09-2022,21,7348
01-09-2022,22,7838
01-09-2022,23,8315.8125
01-09-2022,24,8681
01-09-2022,25,9437
01-09-2022,26,10106
01-09-2022,27,10559
01-09-2022,28,10886
01-09-2022,29,11248
01-09-2022,30,10860
01-09-2022,31,11518
01-09-2022,32,11615
01-09-2022,33,11583
01-09-2022,34,11615
01-09-2022,35,11401
01-09-2022,36,11488
01-09-2022,37,11469
01-09-2022,38,11526
01-09-2022,39,11488
01-09-2022,40,11570
01-09-2022,41,11520
01-09-2022,42,10987.75
01-09-2022,43,11528
01-09-2022,44,11692
01-09-2022,45,11518
01-09-2022,46,11607
01-09-2022,47,11339.5
01-09-2022,48,11674
01-09-2022,49,11567
01-09-2022,50,11613
01-09-2022,51,11666
01-09-2022,52,11618
01-09-2022,53,11503
01-09-2022,54,10967.9375
01-09-2022,55,11353
